name,emotion,number
aia,anger,1
aia,anger,10
aia,anger,100
aia,anger,1000
aia,anger,1001
aia,anger,1002
aia,anger,1003
aia,anger,1004
aia,anger,1005
aia,anger,1006
aia,anger,1007
aia,anger,1008
aia,anger,1009
aia,anger,101
aia,anger,1010
aia,anger,1011
aia,anger,1012
aia,anger,1013
aia,anger,1014
aia,anger,1015
aia,anger,1016
aia,anger,1017
aia,anger,1018
aia,anger,1019
aia,anger,102
aia,anger,1020
aia,anger,1021
aia,anger,1022
aia,anger,1023
aia,anger,1024
aia,anger,1025
aia,anger,1026
aia,anger,1027
aia,anger,1028
aia,anger,1029
aia,anger,103
aia,anger,1030
aia,anger,1031
aia,anger,1032
aia,anger,1033
aia,anger,1034
aia,anger,1035
aia,anger,1036
aia,anger,1037
aia,anger,1038
aia,anger,1039
aia,anger,104
aia,anger,1040
aia,anger,1041
aia,anger,1042
aia,anger,1043
aia,anger,1044
aia,anger,1045
aia,anger,1046
aia,anger,1047
aia,anger,1048
aia,anger,1049
aia,anger,105
aia,anger,1050
aia,anger,1051
aia,anger,1052
aia,anger,1053
aia,anger,1054
aia,anger,1055
aia,anger,1056
aia,anger,1057
aia,anger,1058
aia,anger,1059
aia,anger,106
aia,anger,1060
aia,anger,1061
aia,anger,1062
aia,anger,1063
aia,anger,1064
aia,anger,1065
aia,anger,1066
aia,anger,1067
aia,anger,1068
aia,anger,1069
aia,anger,107
aia,anger,1070
aia,anger,1071
aia,anger,1072
aia,anger,1073
aia,anger,1074
aia,anger,1075
aia,anger,1076
aia,anger,1077
aia,anger,1078
aia,anger,1079
aia,anger,108
aia,anger,1080
aia,anger,1081
aia,anger,1082
aia,anger,1083
aia,anger,1084
aia,anger,1085
aia,anger,1086
aia,anger,1087
aia,anger,1088
aia,anger,1089
aia,anger,109
aia,anger,1090
aia,anger,1091
aia,anger,1092
aia,anger,1093
aia,anger,1094
aia,anger,1095
aia,anger,1096
aia,anger,1097
aia,anger,1098
aia,anger,1099
aia,anger,11
aia,anger,110
aia,anger,1100
aia,anger,1101
aia,anger,1102
aia,anger,1103
aia,anger,1104
aia,anger,1105
aia,anger,1106
aia,anger,1107
aia,anger,1108
aia,anger,1109
aia,anger,111
aia,anger,1110
aia,anger,1111
aia,anger,1112
aia,anger,1113
aia,anger,1114
aia,anger,1115
aia,anger,1116
aia,anger,1117
aia,anger,1118
aia,anger,1119
aia,anger,112
aia,anger,1120
aia,anger,1121
aia,anger,1122
aia,anger,1123
aia,anger,1124
aia,anger,1125
aia,anger,1126
aia,anger,1127
aia,anger,1128
aia,anger,1129
aia,anger,113
aia,anger,1130
aia,anger,1131
aia,anger,1132
aia,anger,1133
aia,anger,1134
aia,anger,1135
aia,anger,1136
aia,anger,1137
aia,anger,1138
aia,anger,1139
aia,anger,114
aia,anger,1140
aia,anger,1141
aia,anger,1142
aia,anger,1143
aia,anger,1144
aia,anger,1145
aia,anger,1146
aia,anger,1147
aia,anger,1148
aia,anger,1149
aia,anger,115
aia,anger,1150
aia,anger,1151
aia,anger,1152
aia,anger,1153
aia,anger,1154
aia,anger,1155
aia,anger,1156
aia,anger,1157
aia,anger,1158
aia,anger,1159
aia,anger,116
aia,anger,1160
aia,anger,1161
aia,anger,1162
aia,anger,1163
aia,anger,1164
aia,anger,1165
aia,anger,1166
aia,anger,1167
aia,anger,1168
aia,anger,1169
aia,anger,117
aia,anger,1170
aia,anger,1171
aia,anger,1172
aia,anger,1173
aia,anger,1174
aia,anger,1175
aia,anger,1176
aia,anger,1177
aia,anger,1178
aia,anger,1179
aia,anger,118
aia,anger,1180
aia,anger,1181
aia,anger,1182
aia,anger,1183
aia,anger,1184
aia,anger,1185
aia,anger,1186
aia,anger,1187
aia,anger,1188
aia,anger,1189
aia,anger,119
aia,anger,1190
aia,anger,1191
aia,anger,1192
aia,anger,1193
aia,anger,1194
aia,anger,1195
aia,anger,1196
aia,anger,1197
aia,anger,1198
aia,anger,1199
aia,anger,12
aia,anger,120
aia,anger,1200
aia,anger,1201
aia,anger,1202
aia,anger,1203
aia,anger,1204
aia,anger,1205
aia,anger,1206
aia,anger,1207
aia,anger,1208
aia,anger,1209
aia,anger,121
aia,anger,1210
aia,anger,1211
aia,anger,1212
aia,anger,1213
aia,anger,1214
aia,anger,1215
aia,anger,1216
aia,anger,1217
aia,anger,1218
aia,anger,1219
aia,anger,122
aia,anger,1220
aia,anger,1221
aia,anger,1222
aia,anger,1223
aia,anger,1224
aia,anger,1225
aia,anger,1226
aia,anger,1227
aia,anger,1228
aia,anger,1229
aia,anger,123
aia,anger,1230
aia,anger,1231
aia,anger,1232
aia,anger,1233
aia,anger,1234
aia,anger,1235
aia,anger,1236
aia,anger,1237
aia,anger,1238
aia,anger,1239
aia,anger,124
aia,anger,1240
aia,anger,1241
aia,anger,1242
aia,anger,1243
aia,anger,1244
aia,anger,1245
aia,anger,1246
aia,anger,1247
aia,anger,1248
